cooling_rate,init_temp,restart_threshold,avg_score,std_score,avg_iterations,avg_iter_90pct,avg_execution_time,avg_mean_cv,avg_size_imbalance
0.95,10,2000,10.68281236530515,2.1018137570293106e-15,178.0,20.8,0.3743100643157959,0.5892636207662367,0.22000000000000003
0.95,100,100,10.522812365305153,0.3200000000000019,1041.4,152.2,2.039717435836792,0.7854095260411613,0.3
0.95,100,500,10.68281236530515,2.9724135207732003e-15,221.0,18.0,0.4610575199127197,0.672269470826842,0.24
0.95,100,1000,10.682812365305152,0.0,221.0,10.4,0.47900924682617185,0.6806250421762338,0.22000000000000003
0.95,100,2000,10.522812365305152,0.3200000000000017,221.0,31.8,0.46518831253051757,0.641694854338881,0.25999999999999995
0.95,1000,100,10.36281236530515,0.3919183588453109,1437.4,371.8,2.841112470626831,0.6587637607759009,0.29
0.95,1000,500,10.68281236530515,2.6347629809804343e-15,266.0,12.0,0.5631172180175781,0.5550562536605075,0.18000000000000002
0.95,1000,1000,10.562812365305152,0.24000000000000143,266.0,34.6,0.5578359603881836,0.6493316153384521,0.21000000000000002
0.95,1000,2000,10.52281236530515,0.3200000000000012,266.0,13.0,0.5535187244415283,0.6628921375735747,0.27
0.95,5000,100,10.40281236530515,0.34871191548325664,1660.8,183.8,3.2697513580322264,0.7878801453870071,0.35
0.95,5000,500,10.44281236530515,0.3200000000000009,297.0,30.6,0.5727454662322998,0.6481869451978028,0.24
0.95,5000,1000,10.662812365305152,0.04000000000000128,297.0,76.0,0.6121824264526368,0.7651580126878693,0.22999999999999998
0.95,5000,2000,10.48281236530515,0.2529822128134723,297.0,56.4,0.6282652378082275,0.643181723299812,0.25
0.99,10,100,10.682812365305152,1.1234667099445444e-15,1315.0,153.0,2.7080235958099363,0.7048484396312128,0.29
0.99,10,500,10.682812365305153,1.3759600911837627e-15,3311.8,1145.2,6.870743179321289,0.45006210653234346,0.15000000000000002
0.99,10,1000,10.682812365305152,3.370400129833633e-15,833.0,228.8,1.719245195388794,0.6985373060683242,0.26
0.99,10,2000,10.58281236530515,0.15491933384829773,837.2,185.8,1.6502439975738525,0.5680907679425988,0.24
0.99,100,100,10.402812365305152,0.3487119154832558,1716.0,713.8,3.161250686645508,0.7197367806580662,0.35
0.99,100,500,10.522812365305153,0.3200000000000023,4469.8,1386.8,8.792167615890502,0.7722996607151322,0.27999999999999997
0.99,100,1000,10.282812365305151,0.33466401061363243,1233.8,333.6,2.4482426166534426,0.7341740287743515,0.2899999999999999
0.99,100,2000,10.66281236530515,0.04000000000000146,1041.0,87.6,2.1525073528289793,0.5993932199971567,0.18
0.99,1000,100,10.682812365305153,1.1234667099445444e-15,2015.2,529.2,4.133972644805908,0.6292010054315784,0.26999999999999996
0.99,1000,500,10.20281236530515,0.39191835884531206,5000.0,2532.2,9.89392557144165,0.78384192194267,0.31
0.99,1000,1000,10.56281236530515,0.2400000000000011,3688.0,597.0,7.503570556640625,0.6275805412448652,0.22999999999999998
0.99,1000,2000,10.602812365305152,0.16000000000000156,1251.2,57.2,2.4360029220581056,0.7015841399074748,0.24000000000000005
0.99,5000,100,10.682812365305153,0.0,2257.6,976.2,4.6252112865448,0.8231089680842499,0.30999999999999994
0.99,5000,500,10.002812365305148,0.1599999999999999,5000.0,1956.4,10.218294715881347,0.804799462099167,0.26999999999999996
0.99,5000,1000,10.48281236530515,0.25298221281347283,3408.6,1371.2,6.75633053779602,0.8016823067610442,0.25999999999999995
0.99,5000,2000,10.68281236530515,3.1776437161565094e-15,1399.0,314.4,2.8716619491577147,0.6433263661021557,0.22999999999999998
0.999,10,100,10.442812365305151,0.32000000000000217,1446.6,250.6,2.795350217819214,0.7315013899902028,0.29999999999999993
0.999,10,500,10.522812365305153,0.32000000000000245,5000.0,1746.6,9.994860887527466,0.6548810832396118,0.21999999999999997
0.999,10,1000,10.522812365305153,0.3200000000000015,5000.0,1119.8,10.32094407081604,0.6350148556241635,0.21999999999999997
0.999,10,2000,10.522812365305153,0.32000000000000245,5000.0,893.0,10.162051343917847,0.6198892181680989,0.24
0.999,100,100,10.682812365305153,1.1234667099445444e-15,1734.4,133.4,3.566151332855225,0.6052684763520999,0.27
0.999,100,500,10.602812365305152,0.16000000000000208,5000.0,1558.6,10.354758358001709,0.6874304932247022,0.19
0.999,100,1000,10.682812365305152,3.552713678800501e-15,5000.0,761.4,10.39974479675293,0.5081390219542954,0.2
0.999,100,2000,10.32281236530515,0.3200000000000028,5000.0,1823.8,10.303688526153564,0.6952423504059351,0.27999999999999997
0.999,1000,100,10.522812365305153,0.32000000000000167,2094.4,1233.4,4.238279914855957,0.7323722487839841,0.27999999999999997
0.999,1000,500,10.682812365305153,7.944109290391273e-16,5000.0,1998.0,10.146258115768433,0.7551493196185075,0.29
0.999,1000,1000,10.362812365305151,0.39191835884531107,5000.0,1698.0,10.216578674316406,0.7369741461200726,0.30999999999999994
0.999,1000,2000,10.602812365305152,0.1600000000000014,5000.0,958.2,10.268402433395385,0.661467259851267,0.23000000000000004
0.999,5000,100,10.522812365305153,0.3200000000000015,2310.2,876.0,4.641524744033814,0.7573038812726325,0.34
0.999,5000,500,10.522812365305152,0.3200000000000031,5000.0,2929.4,10.35712752342224,0.7860516436722049,0.30999999999999994
0.999,5000,1000,10.562812365305152,0.24000000000000182,5000.0,1241.8,10.303558397293092,0.6972787644610098,0.25
0.999,5000,2000,10.202812365305151,0.39191835884531145,5000.0,1855.6,10.258912611007691,0.7696168160265504,0.30999999999999994
